 *                                      
 * hydrostatic:  btemp=  6.000E+09 bden=  6.000E+09
 *          time                temp          den           ener          sdot          sneut         s-snu         ye            1-sum
    144  1.558873749372E-08  6.000000E+09  6.000000E+09  3.322645E+18  1.285420E+23  6.192369E+11  1.285420E+23  5.000000E-01 -5.329071E-15
    145  1.642229575406E-08  6.000000E+09  6.000000E+09  3.322746E+18  1.158216E+23  6.192429E+11  1.158216E+23  5.000000E-01 -5.107026E-15
    146  1.851013828831E-08  6.000000E+09  6.000000E+09  3.322962E+18  9.253036E+22  6.192560E+11  9.253036E+22  5.000000E-01 -5.107026E-15
    147  2.013772677396E-08  6.000000E+09  6.000000E+09  3.323102E+18  7.997018E+22  6.192648E+11  7.997018E+22  5.000000E-01 -5.107026E-15
    148  2.143570539868E-08  6.000000E+09  6.000000E+09  3.323200E+18  7.223108E+22  6.192711E+11  7.223108E+22  5.000000E-01 -5.107026E-15
    149  2.249913270612E-08  6.000000E+09  6.000000E+09  3.323274E+18  6.699575E+22  6.192759E+11  6.699575E+22  5.000000E-01 -5.107026E-15
    150  2.316516719053E-08  6.000000E+09  6.000000E+09  3.323318E+18  6.412451E+22  6.192788E+11  6.412451E+22  5.000000E-01 -5.773160E-15
    151  2.523625216776E-08  6.000000E+09  6.000000E+09  3.323443E+18  5.676462E+22  6.192871E+11  5.676462E+22  5.000000E-01 -5.107026E-15
    152  2.691951996469E-08  6.000000E+09  6.000000E+09  3.323534E+18  5.212235E+22  6.192934E+11  5.212235E+22  5.000000E-01 -4.662937E-15
    153  2.830569087146E-08  6.000000E+09  6.000000E+09  3.323604E+18  4.897036E+22  6.192982E+11  4.897036E+22  5.000000E-01 -4.440892E-15
    154  2.918361709954E-08  6.000000E+09  6.000000E+09  3.323647E+18  4.722756E+22  6.193011E+11  4.722756E+22  5.000000E-01 -5.329071E-15
    155  2.978771141272E-08  6.000000E+09  6.000000E+09  3.323675E+18  4.612709E+22  6.193031E+11  4.612709E+22  5.000000E-01 -5.329071E-15
    156  3.185752910165E-08  6.000000E+09  6.000000E+09  3.323767E+18  4.287103E+22  6.193096E+11  4.287103E+22  5.000000E-01 -5.329071E-15
    157  3.357619349027E-08  6.000000E+09  6.000000E+09  3.323838E+18  4.066277E+22  6.193148E+11  4.066277E+22  5.000000E-01 -5.329071E-15
    158  3.468509866253E-08  6.000000E+09  6.000000E+09  3.323883E+18  3.942936E+22  6.193180E+11  3.942936E+22  5.000000E-01 -6.439294E-15
    159  3.546152772048E-08  6.000000E+09  6.000000E+09  3.323913E+18  3.864228E+22  6.193202E+11  3.864228E+22  5.000000E-01 -6.883383E-15
    160  3.600610671374E-08  6.000000E+09  6.000000E+09  3.323934E+18  3.812424E+22  6.193217E+11  3.812424E+22  5.000000E-01 -6.439294E-15
    161  3.763493294626E-08  6.000000E+09  6.000000E+09  3.323995E+18  3.672302E+22  6.193262E+11  3.672302E+22  5.000000E-01 -6.217249E-15
    162  3.878651947935E-08  6.000000E+09  6.000000E+09  3.324037E+18  3.585012E+22  6.193293E+11  3.585012E+22  5.000000E-01 -6.217249E-15
    163  3.960017374034E-08  6.000000E+09  6.000000E+09  3.324066E+18  3.528448E+22  6.193315E+11  3.528448E+22  5.000000E-01 -5.329071E-15
    164  4.017465643768E-08  6.000000E+09  6.000000E+09  3.324086E+18  3.490827E+22  6.193330E+11  3.490827E+22  5.000000E-01 -5.329071E-15
    165  4.199151424505E-08  6.000000E+09  6.000000E+09  3.324148E+18  3.383022E+22  6.193377E+11  3.383022E+22  5.000000E-01 -5.995204E-15
